id,account_name,hostname,domain,ip,equipment_type,os,last_update
26932,user123,web-server-5,internal.net,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-15
22348,dbadmin,mail-server-40,example.com,145.101.90.2,сервер,Red Hat Enterprise 8,2023-11-15
54610,consultant,proxy-server-29,example.com,145.101.90.6,маршрутизатор,Red Hat Enterprise 8,2023-11-15
11498,dbadmin,app-server-52,mycompany.ru,145.101.90.6,маршрутизатор,Cisco IOS,2023-11-17
14509,user123,app-server-58,example.com,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-16
19073,user123,mail-server-11,business.org,145.101.90.3,брандмауэр,Red Hat Enterprise 8,2023-10-22
97851,admin,app-server-11,example.com,145.101.90.3,переключатель,Windows 10 Pro,2023-11-14
52377,dbadmin,db-server-76,example.com,145.101.90.3,маршрутизатор,Windows Server 2022,2023-11-20
92723,dbadmin,file-server-21,networking.net,145.101.90.1,переключатель,Windows 10 Pro,2023-11-14
80022,dbadmin,web-server-48,services.io,145.101.90.1,сервер,Ubuntu 20.04,2023-11-17
87673,guest,web-server-15,example.com,145.101.90.1,маршрутизатор,Windows 10 Pro,2023-11-16
87231,consultant,mail-server-43,internal.net,145.101.90.1,сервер,Windows Server 2022,2023-11-13
80035,consultant,web-server-96,networking.net,145.101.90.3,маршрутизатор,Ubuntu 20.04,2023-11-15
95004,consultant,db-server-8,mycompany.ru,145.101.90.2,сервер,Red Hat Enterprise 8,2023-11-16
97612,user123,db-server-73,business.org,145.101.90.3,брандмауэр,Windows 10 Pro,2023-11-15
67528,operator,proxy-server-41,business.org,145.101.90.1,переключатель,Ubuntu 20.04,2023-11-15
78996,user123,proxy-server-39,example.com,145.101.90.3,сервер,Ubuntu 20.04,2023-11-16
50176,user123,db-server-62,example.com,145.101.90.5,маршрутизатор,Windows Server 2022,2023-11-13
95439,user123,mail-server-43,example.com,145.101.90.6,брандмауэр,Windows 10 Pro,2023-11-15
61929,consultant,proxy-server-67,clouding.space,145.101.90.1,сервер,Ubuntu 20.04,2023-10-30
30261,admin,proxy-server-47,business.org,145.101.90.1,сервер,Cisco IOS,2023-11-17
36161,user123,db-server-7,internal.net,145.101.90.3,сервер,Cisco IOS,2023-11-18
17623,dbadmin,db-server-88,business.org,145.101.90.1,переключатель,Ubuntu 20.04,2023-11-16
34255,user123,mail-server-11,clouding.space,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-17
68762,user123,mail-server-84,example.com,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-16
48950,operator,web-server-37,internal.net,145.101.90.9,сервер,Ubuntu 20.04,2023-11-15
63410,analyst,mail-server-54,clouding.space,145.101.90.4,сервер,Windows 10 Pro,2023-11-16
65666,consultant,db-server-24,internal.net,145.101.90.1,сервер,Red Hat Enterprise 8,2023-11-17
71368,dbadmin,mail-server-90,networking.net,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-19
93358,consultant,db-server-34,business.org,145.101.90.4,брандмауэр,Windows Server 2022,2023-11-09
11911,tester,mail-server-29,business.org,145.101.90.3,сервер,Ubuntu 20.04,2023-11-17
52141,consultant,db-server-59,example.com,145.101.90.1,переключатель,Cisco IOS,2023-11-16
69651,operator,data-server-85,internal.net,145.101.90.2,переключатель,Red Hat Enterprise 8,2023-11-17
58609,user123,web-server-49,clouding.space,145.101.90.1,сервер,Red Hat Enterprise 8,2023-11-17
11680,user123,mail-server-43,internal.net,145.101.90.1,брандмауэр,Red Hat Enterprise 8,2023-11-16
88017,consultant,data-server-54,mycompany.ru,145.101.90.3,сервер,Windows 10 Pro,2023-11-16
15604,user123,data-server-65,example.com,145.101.90.4,брандмауэр,Ubuntu 20.04,2023-11-18
83913,consultant,mail-server-66,internal.net,145.101.90.3,брандмауэр,Cisco IOS,2023-11-15
80290,developer,mail-server-74,example.com,145.101.90.3,сервер,Cisco IOS,2023-11-15
80762,guest,db-server-76,business.org,145.101.90.3,сервер,Ubuntu 20.04,2023-11-16
85017,tester,web-server-60,business.org,145.101.90.3,брандмауэр,Ubuntu 20.04,2023-11-16
66764,user123,file-server-34,example.com,145.101.90.1,переключатель,Windows Server 2022,2023-11-16
28639,tester,db-server-91,business.org,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-14
72476,tester,db-server-63,business.org,145.101.90.3,переключатель,Windows 10 Pro,2023-11-16
99914,user123,db-server-49,business.org,145.101.90.3,маршрутизатор,Windows Server 2022,2023-11-16
97770,tester,web-server-3,business.org,145.101.90.2,маршрутизатор,Ubuntu 20.04,2023-11-14
23672,analyst,app-server-79,internal.net,145.101.90.5,сервер,Red Hat Enterprise 8,2023-11-16
10026,operator,proxy-server-67,networking.net,145.101.90.2,брандмауэр,Ubuntu 20.04,2023-11-07
10925,user123,db-server-13,services.io,145.101.90.3,переключатель,Ubuntu 20.04,2023-11-17
58225,manager,mail-server-30,example.com,145.101.90.3,сервер,Cisco IOS,2023-11-18
75392,user123,backup-server-28,example.com,145.101.90.6,брандмауэр,Windows 10 Pro,2023-11-14
65529,dbadmin,db-server-1,networking.net,145.101.90.6,маршрутизатор,Cisco IOS,2023-11-15
52224,analyst,web-server-12,internal.net,145.101.90.3,переключатель,Cisco IOS,2023-11-16
16257,user123,mail-server-66,example.com,145.101.90.2,переключатель,Red Hat Enterprise 8,2023-11-20
98333,operator,db-server-91,example.com,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-17
28432,user123,db-server-14,business.org,145.101.90.2,сервер,Ubuntu 20.04,2023-11-20
59823,user123,app-server-66,business.org,145.101.90.2,брандмауэр,Ubuntu 20.04,2023-11-13
35066,admin,db-server-66,networking.net,145.101.90.6,маршрутизатор,Ubuntu 20.04,2023-11-18
87608,dbadmin,proxy-server-21,example.com,145.101.90.7,брандмауэр,Ubuntu 20.04,2023-11-08
42355,operator,web-server-72,enterprise.co,145.101.90.1,сервер,Windows 10 Pro,2023-11-18
83983,operator,db-server-9,example.com,145.101.90.2,переключатель,Cisco IOS,2023-11-19
93944,user123,db-server-20,example.com,145.101.90.1,переключатель,Windows Server 2022,2023-11-17
36424,operator,mail-server-39,internal.net,145.101.90.3,маршрутизатор,Windows 10 Pro,2023-11-16
90200,user123,app-server-98,internal.net,145.101.90.7,сервер,Red Hat Enterprise 8,2023-11-15
96154,user123,proxy-server-96,clouding.space,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-14
96938,manager,web-server-56,clouding.space,145.101.90.9,сервер,Windows 10 Pro,2023-11-13
36271,tester,data-server-18,networking.net,145.101.90.2,сервер,Ubuntu 20.04,2023-11-14
91193,user123,data-server-17,business.org,145.101.90.4,переключатель,Red Hat Enterprise 8,2023-11-12
97449,admin,web-server-31,example.com,145.101.90.3,переключатель,Ubuntu 20.04,2023-11-16
10052,consultant,db-server-55,business.org,145.101.90.6,сервер,Red Hat Enterprise 8,2023-11-16
10757,operator,db-server-51,example.com,145.101.90.2,сервер,Red Hat Enterprise 8,2023-11-15
86439,analyst,db-server-77,internal.net,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-17
28950,user123,db-server-37,example.com,145.101.90.1,сервер,Windows Server 2022,2023-11-17
93580,tester,db-server-50,services.io,145.101.90.6,маршрутизатор,Red Hat Enterprise 8,2023-11-16
98257,user123,db-server-75,business.org,145.101.90.3,маршрутизатор,Cisco IOS,2023-11-15
58240,user123,db-server-4,example.com,145.101.90.4,брандмауэр,Windows 10 Pro,2023-11-15
19520,user123,db-server-19,mycompany.ru,145.101.90.1,переключатель,Cisco IOS,2023-11-16
93837,user123,proxy-server-92,business.org,145.101.90.3,сервер,Ubuntu 20.04,2023-11-17
32521,operator,mail-server-69,example.com,145.101.90.8,маршрутизатор,Red Hat Enterprise 8,2023-11-16
79024,analyst,web-server-49,clouding.space,145.101.90.2,маршрутизатор,Ubuntu 20.04,2023-11-19
33774,admin,web-server-89,internal.net,145.101.90.3,маршрутизатор,Cisco IOS,2023-11-15
59081,user123,app-server-48,example.com,145.101.90.3,переключатель,Ubuntu 20.04,2023-11-14
51207,user123,web-server-84,business.org,145.101.90.2,брандмауэр,Red Hat Enterprise 8,2023-11-17
50128,user123,db-server-81,internal.net,145.101.90.1,брандмауэр,Cisco IOS,2023-11-17
21172,admin,data-server-45,networking.net,145.101.90.1,переключатель,Ubuntu 20.04,2023-11-19
62070,analyst,db-server-67,internal.net,145.101.90.10,маршрутизатор,Ubuntu 20.04,2023-11-05
46191,user123,web-server-70,internal.net,145.101.90.1,переключатель,Windows 10 Pro,2023-11-17
83965,operator,db-server-54,clouding.space,145.101.90.6,брандмауэр,Ubuntu 20.04,2023-11-16
25968,operator,mail-server-95,mycompany.ru,145.101.90.2,маршрутизатор,Cisco IOS,2023-11-15
95527,user123,data-server-36,business.org,145.101.90.5,сервер,Windows 10 Pro,2023-11-16
81493,user123,db-server-100,business.org,145.101.90.4,брандмауэр,Cisco IOS,2023-11-16
51170,consultant,data-server-33,mycompany.ru,145.101.90.2,брандмауэр,Ubuntu 20.04,2023-11-18
12661,admin,web-server-1,business.org,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-16
82132,user123,db-server-9,clouding.space,145.101.90.3,сервер,Cisco IOS,2023-11-17
22197,manager,mail-server-100,mycompany.ru,145.101.90.6,маршрутизатор,Windows 10 Pro,2023-11-17
22546,manager,proxy-server-54,business.org,145.101.90.1,маршрутизатор,Windows 10 Pro,2023-11-16
18198,user123,proxy-server-2,example.com,145.101.90.3,сервер,Cisco IOS,2023-11-16
42993,consultant,web-server-46,internal.net,145.101.90.1,маршрутизатор,Windows 10 Pro,2023-11-16
32848,consultant,mail-server-15,example.com,145.101.90.6,брандмауэр,Cisco IOS,2023-11-18
47406,consultant,db-server-28,internal.net,145.101.90.2,сервер,Cisco IOS,2023-11-08
38053,user123,web-server-16,business.org,145.101.90.10,сервер,Red Hat Enterprise 8,2023-11-16
53529,user123,web-server-13,example.com,145.101.90.2,маршрутизатор,Red Hat Enterprise 8,2023-11-14
36259,user123,mail-server-19,clouding.space,145.101.90.1,сервер,Red Hat Enterprise 8,2023-11-18
49416,user123,db-server-26,example.com,145.101.90.8,переключатель,Red Hat Enterprise 8,2023-11-20
12397,admin,db-server-97,example.com,145.101.90.3,брандмауэр,Ubuntu 20.04,2023-11-15
47004,user123,proxy-server-77,mycompany.ru,145.101.90.4,сервер,Ubuntu 20.04,2023-11-15
60470,operator,db-server-39,clouding.space,145.101.90.3,брандмауэр,Ubuntu 20.04,2023-11-15
78449,user123,data-server-36,example.com,145.101.90.2,маршрутизатор,Windows 10 Pro,2023-10-05
15683,developer,mail-server-60,mycompany.ru,145.101.90.2,переключатель,Ubuntu 20.04,2023-11-17
66330,admin,proxy-server-74,internal.net,145.101.90.2,брандмауэр,Cisco IOS,2023-11-16
22390,analyst,proxy-server-26,example.com,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-19
35465,consultant,test-server-96,networking.net,145.101.90.4,маршрутизатор,Ubuntu 20.04,2023-11-17
87257,user123,proxy-server-48,mycompany.ru,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-18
52537,dbadmin,web-server-74,clouding.space,145.101.90.1,сервер,Ubuntu 20.04,2023-11-16
16737,admin,backup-server-47,example.com,145.101.90.4,брандмауэр,Ubuntu 20.04,2023-11-13
59383,dbadmin,proxy-server-92,example.com,145.101.90.3,маршрутизатор,Ubuntu 20.04,2023-11-14
82342,user123,dev-server-29,example.com,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-14
19077,admin,mail-server-84,services.io,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-16
67904,user123,mail-server-80,internal.net,145.101.90.1,сервер,Windows Server 2022,2023-11-15
17646,admin,mail-server-37,clouding.space,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-16
53456,tester,web-server-62,business.org,145.101.90.5,сервер,Ubuntu 20.04,2023-11-16
32976,user123,proxy-server-80,example.com,145.101.90.4,сервер,Ubuntu 20.04,2023-11-18
38264,admin,web-server-52,business.org,145.101.90.2,маршрутизатор,Red Hat Enterprise 8,2023-11-17
73579,dbadmin,proxy-server-57,mycompany.ru,145.101.90.2,сервер,Ubuntu 20.04,2023-11-16
19689,user123,app-server-77,clouding.space,145.101.90.3,переключатель,Ubuntu 20.04,2023-11-16
22984,user123,mail-server-55,example.com,145.101.90.1,сервер,Windows Server 2022,2023-11-14
83941,user123,proxy-server-68,example.com,145.101.90.6,маршрутизатор,Windows Server 2022,2023-11-15
43962,user123,test-server-13,example.com,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-18
26587,user123,web-server-32,example.com,145.101.90.1,брандмауэр,Red Hat Enterprise 8,2023-11-15
13989,user123,db-server-96,services.io,145.101.90.10,брандмауэр,Ubuntu 20.04,2023-11-15
10513,manager,data-server-55,business.org,145.101.90.3,сервер,Ubuntu 20.04,2023-11-14
38955,operator,dev-server-52,example.com,145.101.90.1,сервер,Windows 10 Pro,2023-11-02
44911,user123,mail-server-25,internal.net,145.101.90.1,рабочая станция,Red Hat Enterprise 8,2023-11-20
60114,user123,app-server-31,example.com,145.101.90.3,сервер,Cisco IOS,2023-11-17
33785,user123,data-server-16,internal.net,145.101.90.2,брандмауэр,Cisco IOS,2023-11-18
14271,user123,web-server-74,mycompany.ru,145.101.90.3,сервер,Ubuntu 20.04,2023-11-18
61857,user123,db-server-92,internal.net,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-14
54522,manager,db-server-62,internal.net,145.101.90.10,маршрутизатор,Cisco IOS,2023-11-15
36556,manager,mail-server-5,business.org,145.101.90.3,брандмауэр,Cisco IOS,2023-11-18
13172,tester,db-server-25,example.com,145.101.90.4,маршрутизатор,Ubuntu 20.04,2023-11-07
97089,user123,db-server-55,business.org,145.101.90.3,маршрутизатор,Windows 10 Pro,2023-11-17
46276,user123,proxy-server-87,business.org,145.101.90.1,маршрутизатор,Cisco IOS,2023-11-15
21327,user123,mail-server-100,example.com,145.101.90.10,сервер,Cisco IOS,2023-11-17
19022,dbadmin,backup-server-32,example.com,145.101.90.1,сервер,Windows 10 Pro,2023-11-16
64149,user123,web-server-88,mycompany.ru,145.101.90.5,маршрутизатор,Ubuntu 20.04,2023-11-16
49152,manager,db-server-96,example.com,145.101.90.1,сервер,Ubuntu 20.04,2023-11-11
31656,user123,proxy-server-48,internal.net,145.101.90.6,сервер,Windows Server 2022,2023-11-16
45114,operator,mail-server-42,business.org,145.101.90.3,брандмауэр,Cisco IOS,2023-11-18
95341,user123,proxy-server-31,clouding.space,145.101.90.8,брандмауэр,Cisco IOS,2023-11-10
27643,dbadmin,web-server-62,clouding.space,145.101.90.6,брандмауэр,Windows 10 Pro,2023-11-18
79084,user123,proxy-server-89,mycompany.ru,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-15
99301,user123,proxy-server-86,mycompany.ru,145.101.90.6,сервер,Red Hat Enterprise 8,2023-11-17
56449,user123,db-server-67,business.org,145.101.90.3,сервер,Windows 10 Pro,2023-11-05
54583,user123,web-server-25,networking.net,145.101.90.10,сервер,Ubuntu 20.04,2023-11-17
68037,guest,data-server-25,internal.net,145.101.90.2,переключатель,Red Hat Enterprise 8,2023-11-13
91023,tester,file-server-100,example.com,145.101.90.1,переключатель,Cisco IOS,2023-11-14
74251,user123,mail-server-98,internal.net,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-16
44874,dbadmin,db-server-6,example.com,145.101.90.1,сервер,Cisco IOS,2023-11-14
29328,consultant,db-server-73,enterprise.co,145.101.90.4,маршрутизатор,Red Hat Enterprise 8,2023-11-14
74858,user123,data-server-72,example.com,145.101.90.4,переключатель,Red Hat Enterprise 8,2023-11-15
36240,consultant,mail-server-24,clouding.space,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-17
83059,user123,web-server-49,clouding.space,145.101.90.1,сервер,Ubuntu 20.04,2023-11-14
14943,consultant,db-server-18,enterprise.co,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-16
19304,user123,db-server-25,example.com,145.101.90.2,брандмауэр,Cisco IOS,2023-11-15
67120,analyst,web-server-78,example.com,145.101.90.3,маршрутизатор,Windows 10 Pro,2023-11-14
84078,consultant,db-server-97,clouding.space,145.101.90.1,переключатель,Windows 10 Pro,2023-11-14
73625,operator,db-server-27,mycompany.ru,145.101.90.4,сервер,Windows Server 2022,2023-11-17
76140,user123,mail-server-36,business.org,145.101.90.4,переключатель,Cisco IOS,2023-11-18
73171,guest,web-server-84,services.io,145.101.90.6,маршрутизатор,Ubuntu 20.04,2023-11-20
51564,admin,db-server-30,clouding.space,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-15
76665,user123,db-server-7,internal.net,145.101.90.3,маршрутизатор,Windows Server 2022,2023-11-18
13876,dbadmin,web-server-14,business.org,145.101.90.1,переключатель,Windows 10 Pro,2023-11-18
92098,user123,web-server-85,example.com,145.101.90.1,брандмауэр,Ubuntu 20.04,2023-11-18
